9 6705 24477
0 0 0.521374 -0.385456
1 0 0.376088 -0.29796
0 1 0.39684 -0.308206
1 1 0.246843 -0.222447
0 2 0.501847 -0.308123
1 2 0.338785 -0.221012
0 3 0.526928 -0.304783
1 3 0.367772 -0.218246
0 4 0.477133 -0.30383
1 4 0.315951 -0.217213
0 5 0.540811 -0.303352
1 5 0.375499 -0.216021
0 6 -0.0868941 -0.297785
1 6 -0.196653 -0.21976
0 7 0.386905 -0.297488
1 7 0.238389 -0.21385
0 8 0.503633 -0.294249
1 8 0.341392 -0.207698
0 9 -0.0479646 -0.292955
1 9 -0.156577 -0.217651
0 10 -0.0628337 -0.290038
1 10 -0.172343 -0.214752
0 11 -0.102618 -0.283557
1 11 -0.208056 -0.207144
0 12 -0.0750341 -0.283892
1 12 -0.183766 -0.208561
0 13 -0.0712381 -0.276279
1 13 -0.179415 -0.20134
0 14 -0.113757 -0.270711
1 14 -0.21655 -0.196579
0 15 -0.064764 -0.267519
1 15 -0.173956 -0.192716
0 16 -0.348279 -0.266746
1 16 -0.45146 -0.192291
0 17 0.397368 -0.263089
1 17 0.250531 -0.181287
0 18 -0.307608 -0.261372
1 18 -0.413484 -0.186493
0 19 -0.327847 -0.260703
1 19 -0.433875 -0.18519
0 20 -0.318829 -0.257041
1 20 -0.42712 -0.18248
0 21 -0.0692125 -0.255588
1 21 -0.179031 -0.181148
0 22 -0.325421 -0.25435
1 22 -0.432136 -0.179004
0 23 0.371583 -0.254994
1 23 0.230119 -0.175271
0 24 -0.295441 -0.250316
1 24 -0.401615 -0.176614
0 25 -0.345089 -0.240222
1 25 -0.451964 -0.166117
0 26 -0.273384 -0.238115
1 26 -0.379331 -0.165254
0 27 -0.316186 -0.225806
1 27 -0.423827 -0.153131
0 28 -0.00681151 -0.224443
1 28 -0.112328 -0.152394
0 29 -0.351962 -0.221078
1 29 -0.458537 -0.147795
0 30 -0.27722 -0.219769
1 30 -0.385401 -0.147233
0 31 -0.313814 -0.218225
1 31 -0.421018 -0.146455
0 32 -0.00914365 -0.202641
1 32 -0.118787 -0.13221
0 33 -0.301335 -0.200916
1 33 -0.408409 -0.129934
0 34 0.508707 -0.198094
1 34 0.382248 -0.123843
0 35 0.504466 -0.194888
1 35 0.377373 -0.120741
0 36 -0.066913 -0.193232
1 36 -0.173622 -0.123026
0 37 -0.00582467 -0.190389
1 37 -0.116149 -0.120001
0 38 -0.0381993 -0.18921
1 38 -0.146392 -0.118998
0 39 -0.0443246 -0.187854
1 39 -0.152842 -0.117463
0 40 -0.251381 -0.18138
1 40 -0.354368 -0.111929
0 41 -0.299225 -0.175981
1 41 -0.404314 -0.106624
0 42 -0.253706 -0.175742
1 42 -0.357125 -0.105769
0 43 -0.309954 -0.173838
1 43 -0.41484 -0.103812
0 44 0.460251 -0.170689
1 44 0.319798 -0.0946615
0 45 -0.2616 -0.169643
1 45 -0.362331 -0.100425
0 46 0.343711 -0.15815
1 46 0.218419 -0.0854065
0 47 -0.0274947 -0.155405
1 47 -0.137319 -0.086621
0 48 -0.308627 -0.154652
1 48 -0.412169 -0.0867444
0 49 0.461189 -0.15361
1 49 0.320875 -0.0775561
